name,scholar_id,affiliation,interests,citedby,num_publications,coauthors_id
Marcelo J. Yanovsky,xc3ju04AAAAJ,"Lab Head, Plant Developmental Genomics, Fundación Instituto Leloir / Associate Professor, University","['Circadian rhythms', 'Alternative splicing', 'RNA processing', 'Functional genomics']",10755,100,"['xk-WIFMAAAAJ', '55sPPYMAAAAJ', 'jknynz0AAAAJ', 'ypGqJkEAAAAJ', 'UwxVXjIAAAAJ', 'O19Ub0MAAAAJ', '0_5sSdgAAAAJ', 'inSJ7L4AAAAJ', 'eDiPyCQAAAAJ', 'Yw5AAEkAAAAJ', 'KgHsXQ4AAAAJ', '9i8CMioAAAAJ', 'GseT2dUAAAAJ', 'JEG_GroAAAAJ', '6VZfvlIAAAAJ']"
Jorge Casal,xk-WIFMAAAAJ,"Professor, IFEVA-CONICET / Universidad de Buenos Aires, Argentina & Fundación Instituto Leloir","['Plant biology', 'light signaling', 'shade avoidance', 'thermomorphogenesis']",15946,221,"['8PEUMs4AAAAJ', 'xc3ju04AAAAJ', 'dGSeWqQAAAAJ', 'oa-FfGAAAAAJ', 'eF-rtLAAAAAJ', 'Dsr_4C4AAAAJ', 'b1C_YWoAAAAJ', '9i8CMioAAAAJ', 'fn-HY-AAAAAJ', 'R3yumOIAAAAJ', 'EZhch-MAAAAJ', 'GCFoh2oAAAAJ', 'EeEtku8AAAAJ', 'Yx5hx44AAAAJ', 'tMRVsS0AAAAJ', 'fsJzX7IAAAAJ', 'wxZ4dL4AAAAJ', 'iuBGuyIAAAAJ', 'fx2WMd8AAAAJ', 'GNEppUEAAAAJ', '2XNlst0AAAAJ', '55sPPYMAAAAJ', '14K2mxoAAAAJ', 'Dn1ofkEAAAAJ', 'mA1v4_8AAAAJ', '5alzifkAAAAJ', 'IcoBGggAAAAJ', 'EAcCGNsAAAAJ', 'EardHKwAAAAJ', 'q5XORckAAAAJ', 'CD6IAXYAAAAJ', '217PMk0AAAAJ', 'ZVUGn78AAAAJ', 'TFb3zxQAAAAJ', '0C-JalKXz8sC', 'dEQP81MAAAAJ', 'kK8ydoYAAAAJ', 'eRg7XakAAAAJ', '4FNFtoAAAAAJ', 'G1BTwzgAAAAJ', 'vHP8ugIAAAAJ', '58ZXn5QAAAAJ']"
Luciana Bianchimano,e2lodKAAAAAJ,Licenciada en Ciencias Biológicas,"['Plant biology', 'molecular biology', 'photobiology']",136,10,[]
Thomas E. Juenger,CD6IAXYAAAAJ,"University of Texas at Austin, Department of Integrative Biology","['Evolution', 'Ecological Genetics', 'Local Adaptation', 'Genomics', 'Physiology']",8437,206,"['ChaLuW8AAAAJ', '6hb_9Q8AAAAJ', 'HUvwHP8AAAAJ', '52Jb_t4AAAAJ', 'ZWsaXyUAAAAJ', '2NRaARoAAAAJ']"
Tong Zhu,Yx5hx44AAAAJ,"Syngenta Crop Protection, LLC.","['Plant Biology', 'Plant Science']",21814,167,"['TmhHwmQAAAAJ', 'abl02PoAAAAJ', 'DW8EhwMAAAAJ', 'h5JxeyQAAAAJ', 'AGN14uwAAAAJ', 'PtT4-xsAAAAJ', 'e5YUmpQAAAAJ', 'onuICRMAAAAJ', '7Y4BtfcAAAAJ', 'HHR21yIAAAAJ', 'NckY6S4AAAAJ', 'ZehLrSkAAAAJ', 'IeBc5OsAAAAJ', 'X_oLoKgAAAAJ', 'xzNOm3kAAAAJ', 'jDWzYLYAAAAJ', 'iZ-h758AAAAJ', 'xk-WIFMAAAAJ', 'EeEtku8AAAAJ', 'bjEoniUAAAAJ', '55sPPYMAAAAJ', 'GseT2dUAAAAJ', 'eDiPyCQAAAAJ', 'Js6inH0AAAAJ', 'MACDiEEAAAAJ', '0_gSb_IAAAAJ', 'BY7w1JEAAAAJ', 'TYhFeagAAAAJ', 'fop1IwgAAAAJ', 'f646BioAAAAJ', 'P6b5gfEAAAAJ', 'ktQ7T3UAAAAJ', '5KB8JHQAAAAJ', 'kw_ugLkAAAAJ', '39LHgdgAAAAJ', '3wmSTFgAAAAJ', 'I5zjYOUAAAAJ', 'mfNh204AAAAJ', '2jAB924AAAAJ', 'g3FIFwQAAAAJ', 'sr7S_AkAAAAJ', 'D2AYL24AAAAJ', 'RYFvFFIAAAAJ', 'LYDtTPoAAAAJ', 'JEG_GroAAAAJ', 'VgzYS6IAAAAJ', 'UalOPJgAAAAJ', 'ZCa3An8AAAAJ', '4GaYr_UAAAAJ', 'epojgGUAAAAJ', 'rkSTLLsAAAAJ', 'm7pBX58AAAAJ', 'aiYshBUAAAAJ', '-42meGUAAAAJ', 'WLHi-CEAAAAJ', 'M68cB1AAAAAJ', 'W9I1figAAAAJ', '5baHwxgAAAAJ', 'O4qWxUIAAAAJ', 'UalP_FwAAAAJ', 'FyHVHnkAAAAJ', 'JVTDNOwAAAAJ']"
Ferenc Nagy,wxZ4dL4AAAAJ,"Institute of Plant Biology, Biological Research Centre","['phytochrome', 'light signalling', 'photomorphogenesis', 'Arabidopsis']",28068,446,[]
R. Bottini,TFb3zxQAAAAJ,"Laboratorio de Bioquímica Vegetal, Instituto de Biología Agrícola de Mendoza, Facultad de Ciencias",['Fisiología y Bioquímica Vegetal'],8354,178,[]
Carlos L. Ballare,b1C_YWoAAAAJ,Professor IFEVA-IIB CONICET - Univ Buenos Aires - Universidad Nacional de San Martin - UNSAM,"['Plant Biology', 'photobiology', 'plant-insect interactions', 'plant-microbe interactions', 'photomorphogenesis']",18687,174,"['-K1-y5kAAAAJ', 'EeEtku8AAAAJ', 'iZ-h758AAAAJ']"
Bruno Andrieu,2XNlst0AAAAJ,INRAE,[],7212,275,"['6edweRUAAAAJ', 'EAcCGNsAAAAJ', 'OZQPK1sAAAAJ', 'vRcb0qUAAAAJ', 'qGnrg04AAAAJ', '3q8cduUAAAAJ', '9at8PAwAAAAJ', 'O3NBAokAAAAJ', 'tXUirE5dUMQC', 'vNL6y3cAAAAJ', 'AR9tnTsAAAAJ', 'zjNpOb4AAAAJ', '6iIhO3kAAAAJ', 'uKHT1_sAAAAJ', '1Yg-_A4AAAAJ', 'OVGvf-IAAAAJ', 'Pg6WnXcAAAAJ', 'fsJzX7IAAAAJ', '_eyZv68AAAAJ', 'LGr1sroAAAAJ', 'xk-WIFMAAAAJ', 'v_C-I4AAAAAJ', 'ISrKOVgAAAAJ', 'WOMqz2gAAAAJ', '_10A8dcAAAAJ', '7866HUIAAAAJ', 'K8DPnCEAAAAJ', 'aNQ8iMoAAAAJ', 'W-Co7voAAAAJ', 'y50JEn0AAAAJ', 'pKHbBgIAAAAJ', 'GMzw-RAAAAAJ', 'H793nr4AAAAJ', 'qK3NsmYAAAAJ', 'sxVWL-0AAAAJ', 'gEZglZkAAAAJ', 'BwmBK20AAAAJ', 'pjH7e8IAAAAJ', 'J-DuZxoAAAAJ', '6Km_nbIAAAAJ', 'X16jdg4AAAAJ', '7qGDlrYAAAAJ', 'S6glFMIAAAAJ', 'I7LVLjIAAAAJ', 'B9dv8JwAAAAJ', '4l7mi8wAAAAJ', '2YLxkDUAAAAJ', 'yNTV8OkAAAAJ', 'FY7VXbQAAAAJ']"
Rodolfo A Sanchez,8PEUMs4AAAAJ,Profesor Emerito de Fisiologia vegetal- Facultad de Agronomía. Universidad de Buenos Aires,['fotomorfogenesis fitocromos germinacion'],10957,130,"['xk-WIFMAAAAJ', 'imXhnxMAAAAJ', 'b1C_YWoAAAAJ', 'VNngUG4AAAAJ', '9i8CMioAAAAJ', '4IKg6V0AAAAJ', 'l7STPu0AAAAJ', '4FNFtoAAAAAJ', 'xc3ju04AAAAJ', 'UvqfUD0AAAAJ', 'gs0ubEEAAAAJ', 'TlYYSV0AAAAJ', '90qbU6sAAAAJ', 'DrETItUAAAAJ', 'pU5lskYAAAAJ', 'mA1v4_8AAAAJ', '7-_An6wAAAAJ', 'j6PH4pgAAAAJ', 'TFb3zxQAAAAJ', 'R3yumOIAAAAJ', 'MePQKuAAAAAJ', '0Xssgk0AAAAJ', 'xkVYxaUAAAAJ', '-K1-y5kAAAAJ', '1Vpm87MAAAAJ', 'EeEtku8AAAAJ', 'Yx5hx44AAAAJ', 'eF-rtLAAAAAJ', 'GPtUzj8AAAAJ', '3zRKAOIAAAAJ', '_YGcagEAAAAJ', 'uuO4VkQAAAAJ', '__8zuxMAAAAJ', '--h1TJgAAAAJ', '_CGxVh8AAAAJ', 'ShuQsqAAAAAJ', 'PzGNHQEAAAAJ', 'xzNOm3kAAAAJ', 'IUO9qzQAAAAJ', 'Krd1k78AAAAJ']"
Sabrina E. Sanchez,UwxVXjIAAAAJ,"Postdoctoral Fellow, Univ. of Southern California","['Molecular Plant Biology', 'Circadian Rhythms', 'Plant Physiology']",1344,22,"['xc3ju04AAAAJ', '0_5sSdgAAAAJ', 'jknynz0AAAAJ', '55sPPYMAAAAJ', 'ypGqJkEAAAAJ', 'VgzYS6IAAAAJ', 'AWccubUAAAAJ', 'Lw4_h_oAAAAJ', '1nubCLAAAAAJ', 'O19Ub0MAAAAJ', 'KgHsXQ4AAAAJ', '8hUIipMAAAAJ', 'JEG_GroAAAAJ', '217PMk0AAAAJ', 'Dcjz2_YAAAAJ', 'fcJnPgIAAAAJ', '9i8CMioAAAAJ', '7IH-XfEAAAAJ', 'xk-WIFMAAAAJ', 'JpYpjj0AAAAJ']"
Chernomoretz Ariel,O19Ub0MAAAAJ,Unknown affiliation,['Computational Biology'],1807,74,"['jqt0BWgAAAAJ', 'xc3ju04AAAAJ', 'TFWiQ_wAAAAJ', 'J58hVoEAAAAJ', 'EGL0JdMAAAAJ', '6UA7EwUAAAAJ', '2NX8v24AAAAJ']"
Christian Fankhauser,Dsr_4C4AAAAJ,"University of Lausanne, Center for Integrative Genomics","['photobiology', 'plant photoreceptors', 'plant morphogenesis', 'plant responses to the environment']",22007,147,[]
Edmundo Ploschuk,R3yumOIAAAAJ,"Profesor Asociado. Universidad de Buenos Aires, Facultad de Agronomía, Cultivos Industriales.","['Fotosíntesis', 'Ecofisiología de cultivos industriales', 'Oleaginosos perennes.']",2068,69,[]
Vinicius Costa Galvao,kK8ydoYAAAAJ,Bayer AG,['Genetics Molecular Biology'],2208,19,"['Dsr_4C4AAAAJ', 'UWyyLgIAAAAJ', 'xOxYkE0AAAAJ', 'VgzYS6IAAAAJ', 'EAee2uoAAAAJ']"
Otegui Maria Elena,fsJzX7IAAAAJ,Professor FAUBA - Senior Scientist CONICET,['Crop physiology - Maize - Crop Modeling - Crop Breeding'],10902,251,"['TMtCSKgAAAAJ', 'DVuZR_cAAAAJ', 'txJ1XawAAAAJ', 'IkRfwAkAAAAJ', 'jFH_1yUAAAAJ', 'GpduQV8AAAAJ', 'VDotjHEAAAAJ', 'Dn1ofkEAAAAJ', 'xk-WIFMAAAAJ', 'tNTu2YcAAAAJ', 'x45ysVcAAAAJ', '2XNlst0AAAAJ', 'F37dnTIAAAAJ', 'kONnS5AAAAAJ', 'OlVuKscAAAAJ', 'mKlH1skAAAAJ', 'EAcCGNsAAAAJ', '25g7OeAAAAAJ', 'JpYpjj0AAAAJ', 'vho7dNUAAAAJ', 'MThlD8oAAAAJ', 'Y-USbfkAAAAJ', '2fQcUR0AAAAJ', 'iwBN5_AAAAAJ', 'zixUVv4AAAAJ']"
Javier F Botto,9i8CMioAAAAJ,"Profesor of Plant Physiology and Principal Reseracher (Agronomy School, University of Buenos Aires).","['Plant Biology', 'Seed dormancy', 'Photobiology', 'Transcription Factors', 'Natural variation']",3401,86,[]
